出表日期,公司代號,公司名稱,董事長,總經理,董事長是否兼任總經理,date
1150517,2514,龍邦,劉偉龍,劉偉龍,兼任,2026-05-18
1150517,2515,中工,周志明,蘇麗梅,未兼任,2026-05-18
1150517,2516,新建,鄒宏基,賴調燦,未兼任,2026-05-18
1150517,2520,冠德,馬志綱,張勝安,未兼任,2026-05-18
1150517,2524,京城,蔡天贊,蔡天贊,兼任,2026-05-18
1150517,2527,宏璟,簡文祥,周家佩,未兼任,2026-05-18
1150517,2528,皇普,蘇永平,蘇永平,兼任,2026-05-18
1150517,2530,華建,鄭斯聰,黃智楨,未兼任,2026-05-18
1150517,2534,宏盛,林新欽,陸永富,未兼任,2026-05-18
1150517,2535,達欣工,王人正,代理總經理 謝天賀,未兼任,2026-05-18
1150517,2536,宏普,游武龍,游武龍,兼任,2026-05-18
1150517,2537,聯上發,蘇永義,李志明,未兼任,2026-05-18
1150517,2538,基泰,楊儲明,馮先勉,未兼任,2026-05-18
1150517,2539,櫻花建,陳世英,沈淑貞,未兼任,2026-05-18
1150517,2540,愛山林,祝文宇,祝藝,未兼任,2026-05-18
1150517,2542,興富發,曹淵博,范華軍,未兼任,2026-05-18
1150517,2543,皇昌,江程金,黃重雷,未兼任,2026-05-18
1150517,2545,皇翔,廖年吉,廖宇祥,未兼任,2026-05-18
1150517,2546,根基,袁藹維,陳俊明,未兼任,2026-05-18
1150517,2547,日勝生,林榮顯,劉垚凱,未兼任,2026-05-18
1150517,2548,華固,鍾榮昌,洪嘉昇,未兼任,2026-05-18
1150517,2597,潤弘,李志宏,莫惟瀚,未兼任,2026-05-18
1150517,2601,益航,郭人豪,莊仟萬,未兼任,2026-05-18
1150517,2603,長榮,張衍義,吳光輝,未兼任,2026-05-18
1150517,2605,新興,許積皋,許積皋,兼任,2026-05-18
1150517,2606,裕民,徐旭東,王書吉,未兼任,2026-05-18
1150517,2607,榮運,邱顯育,林振芳,未兼任,2026-05-18
1150517,2608,嘉里大榮,沈宗桂,財務暨行政總處：阮慧雯,未兼任,2026-05-18
1150517,2609,陽明,蔡豐明,李明輝,未兼任,2026-05-18
1150517,2610,華航,高星潢,陳漢銘,未兼任,2026-05-18
1150517,2611,志信,黃春發,陳秀奇,未兼任,2026-05-18
1150517,2612,中航,彭士孝,戴聖堅,未兼任,2026-05-18
1150517,2613,中櫃,林宏年,黃國樑,未兼任,2026-05-18
1150517,2614,東森,廖尚文,周惠英,未兼任,2026-05-18
1150517,2615,萬海,久福花園股份有限公司,謝福隆,未兼任,2026-05-18
1150517,2616,山隆,鄭人豪,俞蘭輝,未兼任,2026-05-18
1150517,2617,台航,劉文慶,陳建州(代理),未兼任,2026-05-18
