出表日期,報告年度,公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,火災件數(件),火災死傷人數(人),火災死傷人數占員工總人數比率,date
1150513,113,2355,敬鵬,46,0.01%,0,0,0,2026-05-15
1150513,113,2356,英業達,24,0.54%,0,0,0,2026-05-15
1150513,113,2357,華碩,3,0.20%,0,0,0,2026-05-15
1150513,113,2359,所羅門,0,0.00%,0,0,0,2026-05-15
1150513,113,2360,致茂,4,0.19%,0,0,0,2026-05-15
1150513,113,2362,藍天,1,0.00%,0,0,0,2026-05-15
1150513,113,2363,矽統,0,0.00%,0,0,0,2026-05-15
1150513,113,2364,倫飛,0,1.04%,0,0,0,2026-05-15
1150513,113,2365,昆盈,0,0.00%,0,0,0,2026-05-15
1150513,113,2367,燿華,26,0.57%,0,0,0,2026-05-15
1150513,113,2368,金像電,20,0.75%,0,0,0,2026-05-15
1150513,113,2369,菱生,0,0.00%,0,0,0,2026-05-15
1150513,113,2371,大同,18,0.78%,0,0,0,2026-05-15
1150513,113,2373,震旦行,1,0.57%,0,0,0,2026-05-15
1150513,113,2374,佳能,0,0.00%,0,0,0,2026-05-15
1150513,113,2375,凱美,0,0.00%,0,0,0,2026-05-15
1150513,113,2376,技嘉,9,0.13%,0,0,0,2026-05-15
1150513,113,2377,微星,13,0.12%,0,0,0,2026-05-15
1150513,113,2379,瑞昱,0,0.00%,0,0,0,2026-05-15
1150513,113,2380,虹光,0,0.00%,0,0,0,2026-05-15
1150513,113,2382,廣達,34,0.30%,0,0,0,2026-05-15
1150513,113,2383,台光電,36,0.68%,0,0,0,2026-05-15
1150513,113,2385,群光,22,0.13%,0,0,0,2026-05-15
1150513,113,2387,精元,0,0.00%,0,0,0,2026-05-15
1150513,113,2388,威盛,0,0.00%,0,0,0,2026-05-15
1150513,113,2390,云辰,1,1.28%,0,0,0,2026-05-15
1150513,113,2392,正崴,31,0.52%,0,0,0,2026-05-15
1150513,113,2393,億光,8,2.32%,0,0,0,2026-05-15
1150513,113,2395,研華,11,0.00%,0,0,0,2026-05-15
1150513,113,2397,友通,2,0.00%,0,0,0,2026-05-15
1150513,113,2399,映泰,0,0.00%,0,0,0,2026-05-15
1150513,113,2401,凌陽,0,0.00%,0,0,0,2026-05-15
1150513,113,2402,毅嘉,0,0.00%,0,0,0,2026-05-15
