出表日期,報告年度,公司代號,公司名稱,消耗燃料總量(十億焦耳(GJ)),煤炭百分比,天然氣百分比,再生燃料百分比,date
1150513,113,2607,榮運,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2608,嘉里大榮,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2609,陽明,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2610,華航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2612,中航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2614,東森,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2616,山隆,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2617,台航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2618,長榮航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2630,亞航,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2634,漢翔,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2636,台驊控股,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2637,慧洋-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2642,宅配通,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2646,星宇航空,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2701,萬企,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2702,華園,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2704,國賓,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2705,六福,27303.5280,0.00%,88.92%,0.00%,2026-05-15
1150513,113,2706,第一店,1533.4460,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2707,晶華,86598.8288,0.00%,100.00%,0.00%,2026-05-15
1150513,113,2712,遠雄來,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2722,夏都,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,2723,美食-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2727,王品,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2739,寒舍,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2748,雲品,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2753,八方雲集,67723.4504,0.00%,3.53%,0.00%,2026-05-15
1150513,113,2801,彰銀,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,2812,台中銀,1768.6900,N/A,3.47%,N/A,2026-05-15
