出表日期,報告年度,公司代號,公司名稱,前10大股東持股情形,date
1150513,113,1235,興泰,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1235_20250619F17.pdf,2026-05-15
1150513,113,1236,宏亞,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1236_20250618F17.pdf,2026-05-15
1150513,113,1256,鮮活果汁-KY,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1256_20250529F17.pdf,2026-05-15
1150513,113,1301,台塑,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1301_20250611F17.pdf,2026-05-15
1150513,113,1303,南亞,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1303_20250612F17.pdf,2026-05-15
1150513,113,1304,台聚,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1304_20250529F17.pdf,2026-05-15
1150513,113,1305,華夏,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1305_20250527F17.pdf,2026-05-15
1150513,113,1307,三芳,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1307_20250611F17.pdf,2026-05-15
1150513,113,1308,亞聚,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1308_20250528F17.pdf,2026-05-15
1150513,113,1309,台達化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1309_20250528F17.pdf,2026-05-15
1150513,113,1310,台苯,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1310_20250528F17.pdf,2026-05-15
1150513,113,1312,國喬,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1312_20250620F17.pdf,2026-05-15
1150513,113,1313,聯成,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1313_20250528F17.pdf,2026-05-15
1150513,113,1314,中石化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1314_20250515F17.pdf,2026-05-15
1150513,113,1315,達新,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1315_20250620F17.pdf,2026-05-15
1150513,113,1316,上曜,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1316_20250522F17.pdf,2026-05-15
1150513,113,1319,東陽,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1319_20250619F17.pdf,2026-05-15
1150513,113,1321,大洋,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1321_20250604F17.pdf,2026-05-15
1150513,113,1323,永裕,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1323_20250604F17.pdf,2026-05-15
1150513,113,1324,地球,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1324_20250610F17.pdf,2026-05-15
1150513,113,1325,恆大,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1325_20250620F17.pdf,2026-05-15
1150513,113,1326,台化,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1326_20250610F17.pdf,2026-05-15
1150513,113,1337,再生-KY,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1337_20250613F17.pdf,2026-05-15
