出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1723,中鋼碳素化學股份有限公司,化學工業,0.77,新台幣                 10.0000元,1277807.00,181223.00,35863.00,178879.00,2026-05-15
1150515,115,1,1725,元禎企業股份有限公司,化學工業,0.23,新台幣                 10.0000元,2199773.00,47412.00,9925.00,41596.00,2026-05-15
1150515,115,1,1726,永記造漆工業股份有限公司,化學工業,2.03,新台幣                 10.0000元,2651076.00,373182.00,26987.00,328089.00,2026-05-15
1150515,115,1,1727,臺灣中華化學工業股份有限公司,化學工業,0.28,新台幣                 10.0000元,519337.00,43151.00,-2052.00,35899.00,2026-05-15
1150515,115,1,1730,花仙子企業股份有限公司,化學工業,1.48,新台幣                 10.0000元,651549.00,113396.00,20618.00,102761.00,2026-05-15
1150515,115,1,1731,美吾華股份有限公司,生技醫療業,0.43,新台幣                 10.0000元,452346.00,74754.00,-1013.00,57752.00,2026-05-15
1150515,115,1,1732,毛寶股份有限公司,化學工業,0.35,新台幣                 10.0000元,170503.00,13861.00,3487.00,15061.00,2026-05-15
1150515,115,1,1733,五鼎生物技術股份有限公司,生技醫療業,0.81,新台幣                 10.0000元,519723.00,87211.00,-297.00,81370.00,2026-05-15
1150515,115,1,1735,日勝化工股份有限公司,化學工業,0.20,新台幣                 10.0000元,599713.00,29175.00,-1572.00,19691.00,2026-05-15
1150515,115,1,1736,喬山健康科技股份有限公司,運動休閒,0.08,新台幣                 10.0000元,11791948.00,-92539.00,132714.00,24124.00,2026-05-15
1150515,115,1,1737,臺鹽實業股份有限公司,食品工業,0.47,新台幣                 10.0000元,789500.00,121499.00,-2289.00,94456.00,2026-05-15
1150515,115,1,1752,南光化學製藥股份有限公司,生技醫療業,0.32,新台幣                 10.0000元,529627.00,70757.00,-25551.00,32020.00,2026-05-15
1150515,115,1,1760,寶齡富錦生技股份有限公司,生技醫療業,0.60,新台幣                 10.0000元,519291.00,83218.00,-2619.00,51743.00,2026-05-15
1150515,115,1,1762,中化合成生技股份有限公司,生技醫療業,1.64,新台幣                 10.0000元,361225.00,79612.00,22336.00,90601.00,2026-05-15
1150515,115,1,1773,勝一化工股份有限公司,化學工業,2.02,新台幣                 10.0000元,3044317.00,710998.00,48148.00,605748.00,2026-05-15
1150515,115,1,1776,展宇科技材料股份有限公司,化學工業,0.35,新台幣                 10.0000元,275332.00,27030.00,3055.00,22896.00,2026-05-15
1150515,115,1,1783,和康生物科技股份有限公司,生技醫療業,0.59,新台幣                 10.0000元,190868.00,58409.00,10239.00,52793.00,2026-05-15
1150515,115,1,1786,科妍生物科技股份有限公司,生技醫療業,0.29,新台幣                 10.0000元,205322.00,21302.00,14380.00,21956.00,2026-05-15
1150515,115,1,1789,台灣神隆股份有限公司,生技醫療業,0.02,新台幣                 10.0000元,659708.00,8488.00,10837.00,16529.00,2026-05-15
1150515,115,1,1795,美時化學製藥股份有限公司,生技醫療業,2.18,新台幣                 10.0000元,8644409.00,1959197.00,-1233298.00,567201.00,2026-05-15
1150515,115,1,1802,台灣玻璃工業股份有限公司,玻璃陶瓷,0.20,新台幣                 10.0000元,10244189.00,807475.00,-147944.00,585453.00,2026-05-15
1150515,115,1,1805,寶徠建設股份有限公司,建材營造,0.14,新台幣                 10.0000元,103694.00,19521.00,288.00,18368.00,2026-05-15
1150515,115,1,1806,冠軍建材股份有限公司,玻璃陶瓷,-0.10,新台幣                 10.0000元,663911.00,-42730.00,-4581.00,-38964.00,2026-05-15
1150515,115,1,1808,潤隆建設股份有限公司,建材營造,1.06,新台幣                 10.0000元,5392216.00,1229561.00,-75959.00,942283.00,2026-05-15
