出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,1466,聚隆,1475016.00,2130589.00,3605605.00,424530.00,1519641.00,1944171.00,1111573.00,,640355.00,-178233.00,-5870.00,0.00,1567825.00,0.00,,93609.00,1661434.00,,0.00,0.00,14.10,2026-05-15
1150515,115,1,1467,南緯,4780307.00,4079417.00,8859724.00,3706895.00,2147620.00,5854515.00,2336247.00,,173173.00,196081.00,168892.00,-26145.00,2848248.00,,,156961.00,3005209.00,0.00,0.00,2950000.00,12.35,2026-05-15
1150515,115,1,1468,昶和,2026221.00,1225686.00,3251907.00,1309595.00,410717.00,1720312.00,1604053.00,,26753.00,-275425.00,99480.00,,1454861.00,,,76734.00,1531595.00,,0.00,0.00,9.07,2026-05-15
1150515,115,1,1470,大統新創,639175.00,541617.00,1180792.00,186883.00,9194.00,196077.00,857670.00,,7317.00,120399.00,-671.00,,984715.00,,,,984715.00,,0.00,0.00,11.48,2026-05-15
1150515,115,1,1471,首利,1356471.00,286201.00,1642672.00,54656.00,40544.00,95200.00,1504145.00,,0.00,-150008.00,87499.00,,1441636.00,,,105836.00,1547472.00,0.00,0.00,0.00,9.58,2026-05-15
1150515,115,1,1472,三洋實業,4517904.00,988966.00,5506870.00,2129457.00,930727.00,3060184.00,524881.00,,837670.00,1008759.00,376.00,,2371686.00,,,75000.00,2446686.00,,0.00,0.00,45.19,2026-05-15
1150515,115,1,1473,台南,3398248.00,2454898.00,5853146.00,1623115.00,279709.00,1902824.00,1461535.00,,824543.00,1602215.00,62029.00,,3950322.00,,,,3950322.00,0.00,0.00,0.00,27.03,2026-05-15
1150515,115,1,1474,弘裕,2039721.00,1740920.00,3780641.00,936483.00,625817.00,1562300.00,1298970.00,,66368.00,853516.00,-17410.00,,2201444.00,,,16897.00,2218341.00,,0.00,0.00,16.95,2026-05-15
1150515,115,1,1475,業旺,1849769.00,392961.00,2242730.00,580818.00,146362.00,727180.00,660168.00,,128834.00,719025.00,7523.00,,1515550.00,,,,1515550.00,0.00,0.00,0.00,22.96,2026-05-15
1150515,115,1,1476,儒鴻,23249199.00,13615450.00,36864649.00,9214639.00,146348.00,9360987.00,2743671.00,,3769803.00,20656051.00,334137.00,,27503662.00,,,,27503662.00,,0.00,0.00,100.24,2026-05-15
1150515,115,1,1477,聚陽,16529381.00,7913080.00,24442461.00,10203621.00,1159094.00,11362715.00,2466937.00,,6166333.00,4202718.00,164036.00,,13000024.00,,,79722.00,13079746.00,0.00,0.00,0.00,52.70,2026-05-15
1150515,115,1,1504,東元,62376471.00,80814783.00,143191254.00,29514331.00,22931622.00,52445953.00,23764407.00,,24216872.00,32497761.00,4238901.00,-608077.00,84109864.00,,,6635437.00,90745301.00,0.00,0.00,31060000.00,35.86,2026-05-15
1150515,115,1,1506,正道,814956.00,2481501.00,3296457.00,324828.00,91044.00,415872.00,3003885.00,,424736.00,-487836.00,-139984.00,,2800801.00,,,79784.00,2880585.00,,0.00,0.00,9.32,2026-05-15
1150515,115,1,1513,中興電,23811521.00,24942605.00,48754126.00,21444785.00,5433003.00,26877788.00,5031125.00,,3067425.00,10402080.00,3142804.00,-116880.00,21526554.00,,,349784.00,21876338.00,0.00,0.00,9038676.00,43.57,2026-05-15
1150515,115,1,1514,亞力,10200982.00,3063733.00,13264715.00,5213726.00,1436188.00,6649914.00,2731085.00,,1113619.00,2745702.00,-20371.00,-30866.00,6539169.00,,,75632.00,6614801.00,,0.00,2238551.00,24.14,2026-05-15
1150515,115,1,1515,力山,3269060.00,4296375.00,7565435.00,3141849.00,513245.00,3655094.00,1814735.00,,586.00,2172831.00,-102568.00,,3885584.00,,,24757.00,3910341.00,,0.00,0.00,21.41,2026-05-15
1150515,115,1,1516,川飛,142752.00,64710.00,207462.00,2870.00,0.00,2870.00,400082.00,,20185.00,-209653.00,-6022.00,,,,,,204592.00,,0.00,0.00,5.11,2026-05-15
1150515,115,1,1517,利奇,2856330.00,1300548.00,4156878.00,505082.00,155167.00,660249.00,2200000.00,,68150.00,1144316.00,-18205.00,0.00,3394261.00,,,102368.00,3496629.00,,0.00,0.00,15.43,2026-05-15
1150515,115,1,1519,華城,22877201.00,7046780.00,29923981.00,15872933.00,5595080.00,21468013.00,3158808.00,,130862.00,4977196.00,-28310.00,,8238556.00,,,217412.00,8455968.00,,0.00,0.00,26.08,2026-05-15
1150515,115,1,1521,大億,2090427.00,951337.00,3041764.00,1099984.00,100196.00,1200180.00,762300.00,,61500.00,1017784.00,0.00,,1841584.00,,,,1841584.00,0.00,0.00,0.00,24.16,2026-05-15
