Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
1339,昭輝,,,,,40.8000,1959,,,2026-05-15
1340,勝悅-KY,1140,9,6369,5.5900,5.5900,3243,5.6400,129,2026-05-15
1341,富林-KY,2,2,120,60.9000,60.2000,3247,60.9000,702,2026-05-15
1342,八貫,72,3,6746,93.7000,93.7000,4109,93.8000,1095,2026-05-15
1402,遠東新,907,14,24256,26.7500,26.7000,21176,26.7500,13119,2026-05-15
1409,新纖,2614,26,44954,17.2000,17.2000,8021,17.2500,4142,2026-05-15
1410,南染,1,1,26,26.9500,26.9500,1596,27.1500,1180,2026-05-15
1413,宏洲,200,2,1903,9.5200,9.4100,6894,9.5200,2319,2026-05-15
1414,東和,701,17,10960,15.6500,15.6500,4833,15.7000,1050,2026-05-15
1416,廣豐,660,7,7390,11.2000,11.2000,6572,11.2500,2386,2026-05-15
1417,嘉裕,264,7,2186,8.2900,8.2900,2127,8.3300,2633,2026-05-15
1418,東華,1,1,18,18.2500,18.2500,4798,18.3500,1912,2026-05-15
1419,新紡,105,10,6577,62.7000,62.6000,3939,62.7000,1491,2026-05-15
1423,利華,1,1,40,40.5500,40.5500,4531,40.7000,1398,2026-05-15
1432,大魯閣,122,11,2021,16.6000,16.5500,8911,16.6000,1094,2026-05-15
1434,福懋,1102,9,17022,15.4500,15.4000,5283,15.4500,4813,2026-05-15
1436,華友聯,2145,12,102741,47.9000,47.9000,3208,48.0000,1810,2026-05-15
1437,勤益控,1224,12,34390,28.1000,28.1000,2502,28.6500,1852,2026-05-15
1438,三地開發,,,,,20.7000,1948,20.9500,914,2026-05-15
1439,雋揚,633,3,15951,25.2000,25.2000,5544,25.7000,706,2026-05-15
1440,南紡,2446,30,28364,11.6000,11.6000,28788,11.6500,35564,2026-05-15
1441,大東,2625,29,25474,9.7100,9.7000,15426,9.7100,3267,2026-05-15
1442,名軒,,,,,26.5000,2895,27.0500,135,2026-05-15
1443,立益物流,1,1,26,26.0500,26.0500,3143,26.3500,2571,2026-05-15
1444,力麗,1842,19,10874,5.9100,5.9100,7669,5.9300,1730,2026-05-15
1445,大宇,80,1,968,12.1000,12.1000,727,,,2026-05-15
1446,宏和,,,,,15.3000,632,16.5500,569,2026-05-15
1447,力鵬,835,8,4347,5.2100,5.2100,8059,5.2200,1099,2026-05-15
1449,佳和,1565,19,20174,12.9000,12.8000,4267,12.9000,1769,2026-05-15
