Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
030590,欣興統一58購01,,,,15.50,,,2026-05-15
030591,緯創統一59購01,,,,0.48,,,2026-05-15
030592,緯創統一5A購01,,,,0.36,,,2026-05-15
030593,玉晶光統一58購01,,,,0.55,,,2026-05-15
030594,健策統一58購01,,,,3.89,,,2026-05-15
030595,健策統一58購02,,,,2.10,1,,2026-05-15
030596,貿聯統一58購03,,,,3.14,,,2026-05-15
030597,TPK統一58購02,,,,2.11,,,2026-05-15
030599,南寶統一58購01,,,,0.22,,,2026-05-15
03059T,日本2X元大5B售01,,,,0.59,,,2026-05-15
030600,致伸統一58購02,,,,0.07,,,2026-05-15
030601,臻鼎統一58購01,,,,7.60,,,2026-05-15
030602,飛捷統一57購02,,,,0.39,,,2026-05-15
030603,聯茂統一58購02,,,,4.11,,,2026-05-15
030605,台塑化統一58購01,,,,0.26,,,2026-05-15
030607,愛普統一58購01,,,,6.00,,,2026-05-15
030608,緯穎統一5B購01,,,,2.28,,,2026-05-15
030609,緯穎統一62購01,,,,1.91,,,2026-05-15
030611,AES統一58購01,,,,0.20,,,2026-05-15
030613,億豐統一58購01,,,,0.03,,,2026-05-15
03062T,臺股指群益5A售21,,,,0.88,,,2026-05-15
03063T,臺股指群益5A售22,,,,1.09,,,2026-05-15
03067T,T50正2群益5A售08,,,,1.09,,,2026-05-15
03068T,台積電群益5A售14,,,,1.33,,,2026-05-15
03069T,台積電群益5A售15,,,,1.74,,,2026-05-15
030719,A50正2國票56購01,,,,2.45,,,2026-05-15
03071T,聯發科群益5A售10,,,,0.46,,,2026-05-15
03073T,力積電群益5A售03,,,,1.00,,,2026-05-15
03074T,台積電富邦74售03,,,,0.69,,,2026-05-15
030755,華城統一57購01,,,,0.86,,,2026-05-15
030757,漢唐統一57購03,,,,0.63,,,2026-05-15
03075T,群創富邦61售01,,,,0.45,,,2026-05-15
030760,世芯統一57購03,,,,0.60,,,2026-05-15
030761,定穎控統一57購02,,,,3.03,,,2026-05-15
030762,南寶統一57購01,,,,0.16,,,2026-05-15
030763,立積統一57購03,,,,0.05,,,2026-05-15
030764,愛普統一57購02,,,,6.55,,,2026-05-15
030765,富世達統一57購02,,,,2.26,,,2026-05-15
030766,T50反1中信62購01,,,,0.11,,,2026-05-15
030769,台達電中信58購01,,,,26.60,,,2026-05-15
03076T,緯穎富邦61售04,,,,0.46,,,2026-05-15
