stock_id,stock_name,industry,sub_sector,source,confidence
6944,兆聯實業,Unknown,未分類,default,low
6951,青新-創,Unknown,未分類,default,low
6952,大武山,其他,未分類,default,low
6957,裕慶-KY,其他,未分類,default,low
6958,日盛台駿,其他,未分類,default,low
6965,中傑-KY,Unknown,未分類,default,low
6969,成信實業*-創,Unknown,未分類,default,low
6988,威力暘-創,汽車工業,未分類,default,low
6994,富威電力,Unknown,未分類,default,low
7610,聯友金屬-創,Unknown,未分類,default,low
7721,微程式,Unknown,未分類,default,low
7722,LINEPAY,Unknown,未分類,default,low
7732,金興精密,汽車工業,未分類,default,low
7736,虎山,汽車工業,未分類,default,low
7740,熙特爾-創,Unknown,未分類,default,low
7750,新代,電機機械,未分類,default,low
7765,中華資安,Unknown,未分類,default,low
7786,東方風能,Unknown,未分類,default,low
7818,溢泰實業,Unknown,未分類,default,low
7821,神數,汽車工業,未分類,default,low
7823,奧義賽博-KY創,Unknown,未分類,default,low
8033,雷虎,其他,未分類,default,low
8070,長華*,電子通路業,未分類,default,low
8072,陞泰,電子通路業,未分類,default,low
8112,至上,電子通路業,未分類,default,low
8222,寶一,電機機械,未分類,default,low
8341,日友,Unknown,未分類,default,low
8374,羅昇,電機機械,未分類,default,low
8404,百和興業-KY,其他,未分類,default,low
8411,福貞-KY,其他,未分類,default,low
