出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,040980,景碩統一6A購02,29140.00,7000,2026-05-15
1150514,1150514,047110,亞光統一58購01,2020.00,5000,2026-05-15
1150514,1150514,047577,亞光統一58購02,6880.00,31000,2026-05-15
1150514,1150514,051140,建漢統一59購01,990.00,9000,2026-05-15
1150514,1150514,051218,南亞統一5C購01,0.00,0,2026-05-15
1150514,1150514,051226,第一銅統一5C購03,0.00,0,2026-05-15
1150514,1150514,051243,京元電統一6C購01,669510.00,938000,2026-05-15
1150514,1150514,051242,京元電統一61購02,14950.00,21000,2026-05-15
1150514,1150514,051240,京元電統一5B購01,1050.00,1000,2026-05-15
1150514,1150514,051241,京元電統一5C購02,480670.00,686000,2026-05-15
1150514,1150514,051232,旺宏統一5B購02,0.00,0,2026-05-15
1150514,1150514,051235,金像電統一5B購02,36000.00,10000,2026-05-15
1150514,1150514,051236,金像電統一61購01,135200.00,40000,2026-05-15
1150514,1150514,051233,智邦統一5B購01,4450.00,1000,2026-05-15
1150514,1150514,051234,智邦統一61購01,3670.00,1000,2026-05-15
1150514,1150514,051231,華泰統一5B購01,0.00,0,2026-05-15
1150514,1150514,051222,華新統一6C購01,128090.00,225000,2026-05-15
1150514,1150514,051219,華新統一5C購01,5600.00,10000,2026-05-15
1150514,1150514,051220,華新統一5C購02,570860.00,1018000,2026-05-15
1150514,1150514,051221,華新統一61購01,101020.00,180000,2026-05-15
1150514,1150514,051228,華通統一5B購01,26250.00,5000,2026-05-15
1150514,1150514,051229,華通統一61購01,0.00,0,2026-05-15
1150514,1150514,051230,華通統一61購02,0.00,0,2026-05-15
1150514,1150514,051239,漢唐統一5B購02,81400.00,199000,2026-05-15
1150514,1150514,051268,精銳統一64購01,0.00,0,2026-05-15
1150514,1150514,051269,精銳統一64購02,5160.00,6000,2026-05-15
1150514,1150514,051286,緯穎統一61購03,2495430.00,1887000,2026-05-15
1150514,1150514,051284,緯穎統一5B購03,1307200.00,1000000,2026-05-15
1150514,1150514,051285,緯穎統一5B購04,764120.00,713000,2026-05-15
1150514,1150514,051272,聯茂統一65購01,20600.00,10000,2026-05-15
1150514,1150514,051283,愛普統一5B購01,690780.00,174000,2026-05-15
1150514,1150514,051262,群創統一65購01,886330.00,384000,2026-05-15
1150514,1150514,051263,群創統一65購02,2440630.00,1210000,2026-05-15
1150514,1150514,051264,群創統一6C購01,1835030.00,843000,2026-05-15
1150514,1150514,051260,群創統一5C購01,194400.00,47000,2026-05-15
1150514,1150514,051261,群創統一5C購02,113550.00,21000,2026-05-15
1150514,1150514,051291,昇陽半統一71購01,279770.00,254000,2026-05-15
1150514,1150514,051290,昇陽半統一64購01,718280.00,514000,2026-05-15
1150514,1150514,051253,欣興統一5C購02,0.00,0,2026-05-15
1150514,1150514,051254,欣興統一5C購03,0.00,0,2026-05-15
1150514,1150514,051256,欣興統一6C購01,177300.00,29000,2026-05-15
1150514,1150514,051279,矽格統一65購01,0.00,0,2026-05-15
1150514,1150514,051278,矽格統一5A購01,0.00,0,2026-05-15
1150514,1150514,051289,昇陽半統一5C購02,0.00,0,2026-05-15
1150514,1150514,051288,昇陽半統一5B購03,15340.00,11000,2026-05-15
1150514,1150514,051273,和椿統一5C購01,723970.00,931000,2026-05-15
